,driver,midrace_pos,high_pos,low_pos,avg_pos,pass_dif,GF_Passes,GF_Passed,quality_passes,quality_pass_pct,fast_lap,top15_laps,top15_lap_pct,laps_led,LL_pct,total_laps,driver_rating,race_num,year,start,finish,laps,pos_dif,finishpoints,DFS,DfsRank
130,J.J. Yeley,21,6,24,18,4,45,41,15,33.3,0,65,32.5,0,0.0,198,69.0,4,2018,16,21,198,-5,21,16.0,21
131,Dylan Lupton,23,9,25,20,-7,49,56,9,18.4,0,16,8.0,0,0.0,198,62.8,4,2018,20,23,198,-3,19,16.0,21
132,Ryan Sieg,15,11,27,23,-14,13,27,1,7.7,0,14,7.0,0,0.0,197,57.7,4,2018,23,25,197,-2,17,15.0,22
133,Tommy Joe Martins,27,5,28,26,-5,7,12,0,0.0,0,1,0.5,0,0.0,195,52.5,4,2018,27,27,195,0,15,15.0,22
134,Josh Williams,31,26,33,29,4,17,13,0,0.0,0,0,0.0,0,0.0,194,47.2,4,2018,28,29,194,-1,13,12.0,24
135,Stephen Leicht,33,28,34,31,1,19,18,0,0.0,0,0,0.0,0,0.0,193,41.2,4,2018,32,31,193,1,10,11.0,25
136,Vinnie Miller,29,28,33,30,-7,17,24,0,0.0,0,0,0.0,0,0.0,192,41.8,4,2018,33,33,192,0,8,8.0,26
137,Mike Harmon,35,35,40,35,2,8,6,0,0.0,0,0,0.0,0,0.0,185,31.7,4,2018,37,35,185,2,6,8.0,26
138,Morgan Shepherd,37,29,40,36,1,10,9,0,0.0,0,0,0.0,0,0.0,56,27.2,4,2018,29,37,56,-8,4,-4.0,29
139,David Starr,39,25,31,37,-6,1,7,0,0.0,0,0,0.0,0,0.0,24,32.3,4,2018,30,39,24,-9,2,-7.0,30
140,Justin Allgaier,1,1,13,2,9,26,17,21,80.8,42,200,100.0,76,38.0,200,138.1,4,2018,1,2,200,-1,42,78.9,2
141,Christopher Bell,4,1,14,4,5,32,27,29,90.6,28,200,100.0,5,2.5,200,120.2,4,2018,4,4,200,0,40,53.85,5
142,Daniel Hemric,9,1,21,6,13,40,27,29,72.5,6,192,96.0,0,0.0,200,108.8,4,2018,8,6,200,2,38,42.7,8
143,Cole Custer,14,2,35,11,37,64,27,34,53.1,7,163,81.5,0,0.0,200,97.7,4,2018,3,8,200,-5,36,34.15,12
144,Tyler Reddick,2,1,40,12,8,57,49,23,40.4,0,144,72.0,6,3.0,199,86.0,4,2018,40,10,199,30,34,65.5,4
145,Kaz Grala,18,1,20,15,5,47,42,21,44.7,0,76,38.0,8,4.0,199,78.8,4,2018,17,12,199,5,31,38.0,10
146,Spencer Gallagher,17,2,21,14,0,47,47,24,51.1,0,120,60.0,0,0.0,199,80.3,4,2018,12,14,199,-2,29,27.0,14
147,Austin Cindric,10,7,25,15,-7,32,39,12,37.5,1,138,69.0,0,0.0,199,77.3,4,2018,13,16,199,-3,27,24.45,15
148,Ryan Reed,11,1,23,13,-19,30,49,16,53.3,0,143,71.5,0,0.0,199,79.3,4,2018,11,18,199,-7,25,18.0,19
149,Jeremy Clements,22,7,24,20,-7,47,54,7,14.9,0,17,8.5,0,0.0,198,63.7,4,2018,21,20,198,1,23,24.0,16
150,Alex Labbe,25,3,27,22,-20,27,47,1,3.7,0,11,5.5,0,0.0,198,60.7,4,2018,22,22,198,0,20,20.0,18
151,Joey Gase,24,13,26,24,-25,12,37,0,0.0,0,4,2.0,0,0.0,197,55.7,4,2018,19,24,197,-5,18,13.0,23
152,B.J. McLeod,26,20,27,26,0,7,7,0,0.0,0,0,0.0,0,0.0,196,52.3,4,2018,26,26,196,0,16,16.0,21
153,Garrett Smithley,28,25,33,29,0,16,16,0,0.0,0,0,0.0,0,0.0,195,49.7,4,2018,31,28,195,3,14,17.0,20
154,Spencer Boyd,32,28,35,32,-5,14,19,0,0.0,0,0,0.0,0,0.0,194,43.2,4,2018,34,30,194,4,12,16.0,21
155,Josh Bilicki,30,29,39,33,-4,16,20,0,0.0,0,0,0.0,0,0.0,193,37.9,4,2018,39,32,193,7,9,16.0,21
156,Timmy Hill,34,32,40,34,2,8,6,0,0.0,0,0,0.0,0,0.0,190,34.0,4,2018,38,34,190,4,7,11.0,25
157,Chad Finchum,36,31,38,36,-5,7,12,0,0.0,0,0,0.0,0,0.0,104,31.7,4,2018,36,36,104,0,5,5.0,27
158,Matt Mills,38,33,40,38,-8,6,14,0,0.0,0,0,0.0,0,0.0,54,24.8,4,2018,35,38,54,-3,3,0.0,28
159,Jeff Green,40,25,40,38,-3,12,15,0,0.0,0,0,0.0,0,0.0,18,26.5,4,2018,25,40,18,-15,1,-14.0,31
160,Joey Logano,1,1,18,1,18,27,9,19,70.4,45,148,98.7,139,92.7,150,150.0,5,2018,2,1,150,1,45,101.0,1
