,finish_pos,qual_pos,season_mid,season_high,season_low,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,last_year_flag,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,DFS,DfsRank,top3,top5,top10,car_make_Chevrolet,car_make_Ford,car_make_Toyota,owner_23XI Racing,owner_JTG-Daugherty Racing,owner_Jack Roush,owner_Joe Gibbs,owner_Matt Kaulig,owner_Richard Childress,owner_Richard Petty Motorsports,owner_Rick Hendrick,owner_Roger Penske,owner_Stewart-Haas Racing,owner_Trackhouse Racing,owner_Wood Brothers,group_len_0.5,group_len_1.0,group_len_1.5,group_len_2.0,group_len_2.7,group_len_3.0
2575,26.0,22.0,24.0,1.0,32.0,21.0,-11.0,134.0,145.0,25.0,0.0,36.0,1.0,61.2,34.25,0.0,24.0,1.0,32.0,21.0,-11.0,134.0,145.0,25.0,0.0,36.0,1.0,61.2,34.25,15.0,23.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2576,28.0,23.0,25.0,1.0,28.0,21.0,7.0,129.0,122.0,10.0,2.0,9.0,2.0,58.1,18.4,0.0,25.0,1.0,28.0,21.0,7.0,129.0,122.0,10.0,2.0,9.0,2.0,58.1,18.4,13.05,25.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2577,21.0,24.0,31.0,8.0,32.0,26.0,4.0,109.0,105.0,7.0,0.0,3.0,0.0,54.7,37.0,0.0,31.0,8.0,32.0,26.0,4.0,109.0,105.0,7.0,0.0,3.0,0.0,54.7,37.0,24.45,17.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2578,5.0,26.0,16.0,6.0,30.0,18.0,1.0,97.0,96.0,45.0,1.0,125.0,0.0,64.2,-1.55,0.0,16.0,6.0,30.0,18.0,1.0,97.0,96.0,45.0,1.0,125.0,0.0,64.2,-1.55,67.45,3.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2579,38.0,28.0,12.0,7.0,30.0,21.0,-3.0,112.0,115.0,23.0,0.0,68.0,0.0,53.7,-2.0,0.0,12.0,7.0,30.0,21.0,-3.0,112.0,115.0,23.0,0.0,68.0,0.0,53.7,-2.0,-7.0,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2580,10.0,29.0,27.0,11.0,31.0,26.0,-17.0,102.0,119.0,5.0,5.0,5.0,0.0,48.4,8.25,0.0,27.0,11.0,31.0,26.0,-17.0,102.0,119.0,5.0,5.0,5.0,0.0,48.4,8.25,55.25,6.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2581,16.0,30.0,20.0,11.0,37.0,20.0,-12.0,139.0,151.0,23.0,6.0,49.0,0.0,57.0,25.7,0.0,20.0,11.0,37.0,20.0,-12.0,139.0,151.0,23.0,6.0,49.0,0.0,57.0,25.7,42.35,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2582,4.0,1.0,3.0,1.0,27.0,6.0,14.0,50.0,36.0,41.0,30.0,301.0,16.0,114.8,68.15,1.0,4.0,1.2,24.2,5.2,10.8,47.8,37.0,39.6,27.8,302.2,58.2,117.75999999999999,66.85999999999999,48.05,7.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2583,7.0,2.0,9.0,1.0,25.0,10.0,5.0,77.0,72.0,59.0,0.0,274.0,2.0,99.5,40.5,1.0,9.0,1.0,25.0,10.0,5.0,77.0,72.0,59.0,0.0,274.0,2.0,99.5,40.5,52.5,6.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2584,3.0,3.0,3.0,1.0,16.0,3.0,0.0,38.0,31.0,26.0,39.0,300.0,0.0,118.5,57.55,1.0,8.4,1.4,21.4,8.8,5.6,35.6,30.0,25.8,33.6,241.8,41.4,108.75999999999999,57.27,66.35,3.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
