,finish_pos,qual_pos,season_mid,season_high,season_low,group_len,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,num_starts,DFS,DfsRank,top3,top5,top10,car_make_Chevrolet,car_make_Ford,car_make_Toyota,owner_Chip Ganassi,owner_Chris Our,owner_Fred Biagi,owner_Fury Race Cars,owner_JR Motorsports,owner_Jack Roush,owner_Jeremy Clements,owner_Jerry Brown,owner_Joe Gibbs,owner_Matt Hurley,owner_Matt Kaulig,owner_Maury Gallagher,owner_Richard Childress,owner_Roger Penske,owner_SS Green Light Racing,owner_Stewart Haas Racing
1690,8.0,17.0,13.5,6.0,30.0,0.5,14.0,11.5,55.0,43.5,23.0,3.0,154.5,0.0,79.0,12.85,3.0,30.0,14.0,-3.0,48.0,53.0,24.0,62.65,81.0,67.55,0.0,13.5,19.0,58.0,51.3,6.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1691,40.0,20.0,19.0,1.0,37.0,0.5,15.0,27.0,70.0,43.0,23.0,1.0,169.0,7.0,84.4,48.2,5.0,31.5,15.0,5.5,50.0,46.5,22.5,59.599999999999994,71.0,67.15,0.0,12.5,15.0,55.0,-19.0,36.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1692,9.0,22.0,7.0,1.0,38.0,0.5,14.0,13.0,73.0,60.0,33.0,2.0,144.0,7.0,82.6,59.65,5.5,37.0,16.5,-1.5,45.5,45.0,20.5,44.3,34.5,53.75,0.0,20.5,18.5,10.0,72.85,3.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1693,15.0,31.0,18.0,5.0,34.0,0.5,21.0,-9.0,63.0,72.0,12.0,0.0,23.0,0.0,65.3,40.0,2.0,34.0,16.0,7.0,63.0,57.0,44.0,60.8,66.0,66.7,0.0,12.0,12.0,154.0,44.0,11.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694,4.0,1.0,4.0,1.0,23.0,1.5,7.0,5.0,32.5,24.0,25.0,11.5,152.5,10.0,101.35,39.675,1.0,25.0,5.0,6.0,33.0,25.0,26.0,76.9,117.0,95.2,23.1,14.0,6.0,126.0,56.95,4.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1695,7.0,2.0,4.5,1.0,27.0,1.5,6.0,9.5,41.0,34.5,26.5,10.0,147.5,4.0,107.15,32.475,1.0,25.0,6.0,11.0,41.0,31.0,28.0,81.0,126.0,94.4,4.7,14.0,8.0,53.0,44.65,10.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1696,2.0,3.0,6.5,1.0,25.5,1.5,6.5,13.0,44.5,29.5,36.0,10.0,160.5,10.5,115.15,55.55,1.0,26.0,7.0,7.0,41.0,30.0,30.0,73.6,144.0,94.2,5.8,14.0,9.0,365.0,81.7,1.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1697,9.0,4.0,10.0,2.0,22.5,1.5,9.0,-1.0,38.5,38.0,31.5,1.5,160.5,0.0,97.0,34.8,2.0,25.0,8.0,6.5,40.0,33.5,30.0,83.25,137.0,94.6,0.0,14.5,12.0,94.0,31.85,16.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1698,10.0,5.0,4.5,1.0,21.0,1.5,6.0,8.5,32.0,21.5,28.0,3.5,155.0,0.5,108.35,37.175,1.0,25.0,8.0,4.0,34.0,27.0,28.0,90.6,129.0,94.7,0.0,14.0,9.0,68.0,29.9,19.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1699,11.0,6.0,17.5,2.0,31.5,1.5,10.0,39.5,64.5,25.0,31.0,16.5,136.0,10.0,103.9,53.925000000000004,1.0,27.5,7.5,14.5,45.0,32.5,31.0,68.30000000000001,113.5,92.1,8.25,14.5,3.5,13.0,30.15,18.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1700,5.0,7.0,3.5,1.0,28.5,1.5,6.5,3.5,30.5,31.5,27.5,9.5,159.5,15.5,105.2,30.85,1.0,29.0,9.0,2.0,40.0,37.0,27.0,70.4,141.0,90.0,6.7,14.0,14.0,113.0,45.05,9.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1701,6.0,8.0,10.5,2.5,27.0,1.5,10.5,11.0,46.5,39.5,34.0,4.0,126.5,0.0,96.25,42.925,2.0,31.0,12.0,11.0,47.0,39.0,27.0,66.0,74.0,76.8,0.0,14.0,15.0,196.0,41.8,11.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1702,3.0,9.0,4.0,1.0,27.5,1.5,8.5,13.0,46.0,25.0,30.0,5.0,151.0,3.5,103.25,54.35,1.0,26.0,8.0,7.0,44.0,26.0,27.0,79.6,137.0,93.7,0.0,14.0,10.0,95.0,53.55,6.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1703,33.0,10.0,16.5,5.0,33.0,1.5,15.5,3.0,48.0,45.5,25.0,1.5,107.5,0.0,79.3,27.05,4.0,31.0,13.0,6.0,44.0,41.0,22.0,46.2,83.0,76.8,0.0,14.0,13.0,69.0,-15.0,34.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1704,34.0,11.0,26.5,9.0,30.5,1.5,25.0,-5.0,35.5,40.5,15.5,0.0,58.0,0.0,58.35,11.0,4.0,36.0,16.0,1.0,44.0,38.0,27.0,45.2,43.0,55.1,0.0,21.0,15.0,11.0,-16.0,35.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1705,15.0,12.0,13.5,3.0,32.5,1.5,13.5,-3.0,42.5,47.5,25.0,0.5,102.5,0.0,73.4,15.0,3.0,29.0,14.0,-3.0,49.0,52.0,24.0,63.4,85.0,70.5,0.0,14.0,19.0,59.0,25.0,22.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1706,39.0,13.0,16.5,6.0,27.5,1.5,15.0,6.0,49.0,43.0,27.5,0.0,95.0,0.0,78.94999999999999,39.0,6.0,29.0,14.0,-5.0,45.0,43.0,23.0,50.0,69.0,51.0,0.0,14.0,16.0,391.0,-24.0,38.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1707,36.0,14.0,12.0,3.0,28.0,1.5,13.0,-8.5,36.5,43.5,23.5,0.0,131.0,0.0,85.45,36.4,3.0,30.0,11.0,-1.0,39.0,43.0,26.0,67.9,99.0,83.5,0.0,14.0,13.0,69.0,-17.0,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
